tgname,table_name,def
hosts_code_delete_guard_trg,hosts,CREATE TRIGGER hosts_code_delete_guard_trg BEFORE DELETE ON hosts FOR EACH ROW EXECUTE FUNCTION hosts_code_delete_guard()
parties_host_codes_fk_trg,parties,CREATE TRIGGER parties_host_codes_fk_trg BEFORE INSERT OR UPDATE OF host_codes ON parties FOR EACH ROW EXECUTE FUNCTION parties_host_codes_fk_check()
